date,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply
2017-08-17,267043919,294857114,477120,879024,347319,247478572,13517,8.0354963367594,481020,8282275.741987,923233068448.905,478.76404494382,978681,16512752.2953032
2017-08-18,267407630,295291561,434447,763319,312250,247790822,13340,8.54853165335702,481169,6824246.05405971,923233068448.905,581.054054054054,959987,16514614.7953032
2017-08-19,267750391,295666056,374495,721026,266832,248057654,11517,8.8167458875618,481320,6900497.42254268,923233068448.905,574.633333333333,966455,16516502.2953033
2017-08-20,268042327,295975378,309322,621899,210852,248268506,9217,8.45881869964145,481450,6117465.5901863,923233068448.905,648.186046511628,961449,16518127.2953032
2017-08-21,268322590,296331892,356514,637529,236772,248505278,12336,10.5502116146594,481565,5412864.80093173,923233068448.905,732.561403508772,976486,16519564.7953032
2017-08-22,268552624,296634327,302435,532361,196283,248701561,8703,9.39061216573142,481654,4055066.33892102,923233068448.905,977.852272727273,998175,16520677.2953032
2017-08-23,268968778,297087837,453510,846625,315734,249017295,13880,7.48674367860345,481813,7299178.89413928,923233068448.905,543.246835443038,986510,16522664.7953025
2017-08-24,269228389,297398413,310576,550862,203805,249221100,10095,8.08952940401021,481914,4503955.98577299,891643263405.002,850.27,938809,16523927.2953025
2017-08-25,269454308,297718681,320268,580873,208169,249429269,9183,6.818775921748,482015,4582735.55484479,888171856257.321,832.4,928758,16525189.7953025
2017-08-26,269734083,298057600,338919,620764,226485,249655754,10345,6.19419649125801,482120,4697256.46631729,888171856257.321,812.105769230769,998218,16526502.2953025
2017-08-27,270114073,298425329,367729,767714,261891,249917645,8790,4.90719583942472,482275,6842057.27558038,888171856257.321,557.532467532468,990802,16528439.7953025
2017-08-28,270403196,298766287,340958,657289,223771,250141416,11061,7.68847696895996,482404,5810892.10393153,888171856257.321,656.46875,981300,16530052.2953025
2017-08-29,270795416,299188729,422442,802531,281116,250422532,14059,6.96621074893144,482553,6553044.81772425,888171856257.321,582.121621621622,998177,16531914.7953025
2017-08-30,271203742,299592899,404170,804606,271466,250693998,14105,6.03640904181047,482721,7488447.71623019,888171856257.321,509.407185628743,983372,16534014.7953025
2017-08-31,271596758,300011025,418126,802342,280724,250974722,14601,6.37407445081276,482884,7233547.03493017,888171856257.321,527.358024691358,981641,16536052.2953025
2017-09-01,271966438,300428558,417533,787641,283670,251258392,16243,6.35400615525019,483058,7826122.14791029,888171856257.321,487.42774566474,971879,16538227.2953025
2017-09-02,272262471,300781862,353304,700573,236811,251495203,12493,6.6732788890946,483222,7300159.19417678,888171856257.321,522.546012269939,809001,16540277.2953025
2017-09-03,272537047,301072910,291048,590837,195289,251690492,10244,7.29663852682501,483376,6830404.08910073,888171856257.321,558.483660130719,765766,16542202.2953025
2017-09-04,272890404,301462330,389420,758033,269280,251959772,16013,8.98972592153268,483551,7723349.96332819,888171856257.321,493.913793103449,927660,16544389.7953025
2017-09-05,273253594,301872715,410385,789682,277948,252237720,19678,23.3610245043059,483748,8786564.56896747,888171856257.321,434.147959183674,763565,16546852.2953025
2017-09-06,273630311,302287074,414359,780740,276225,252513945,16427,9.1246149661657,483910,7260476.53042943,903315386419.503,534.360248447205,904135,16548877.2953025
2017-09-07,274038680,302667376,380302,773169,256374,252770319,14366,8.71036951999797,484086,8131047.20667712,922724699725.963,487.4,810041,16551077.2953025
2017-09-08,274422849,303068203,400827,831233,279488,253049807,13791,7.75820677465093,484261,8089136.26385669,922724699725.963,489.925287356322,913187,16553264.7953025
2017-09-09,274717694,303384455,316252,631540,217890,253267697,11498,8.48936067942953,484430,7714635.2343926,922724699725.963,513.708333333333,731735,16555377.2953025
2017-09-10,274976323,303666611,282156,562566,193240,253460937,10229,8.40002095234072,484568,6317233.14603608,922724699725.963,627.343065693431,784202,16557102.2953025
2017-09-11,275319694,304037704,371093,740040,253492,253714429,13879,10.6196862138298,484742,8019692.44337365,922724699725.963,494.167630057803,829352,16559277.2953025
2017-09-12,275656332,304420020,382316,715977,256230,253970659,12090,9.48734285885244,484930,8695741.16040996,922724699725.963,455.748663101604,711239,16561627.2953025
2017-09-13,275995782,304801872,381852,723604,263320,254233979,12287,10.7519857359913,485120,8764473.68054442,922724699725.963,452.174603174603,713780,16564002.2953025
2017-09-14,276375997,305191076,389204,778850,268068,254502047,13268,11.9378108703981,485294,8047555.92084579,922724699725.963,492.456647398844,802350,16566177.2953025
2017-09-15,276751991,305618360,427284,839597,292079,254794126,14789,12.1015632249167,485474,8322266.08549581,922724699725.963,476.201117318436,844177,16568427.2953025
2017-09-16,277052022,305954902,336542,651462,228257,255022383,11620,9.81633375376549,485643,7755342.62823278,922724699725.963,511.011904761905,701067,16570539.7953025
2017-09-17,277318045,306249675,294773,592822,197683,255220066,10889,8.79627928810237,485819,8147572.56048408,922724699725.963,486.411428571428,581463,16572739.7953025
2017-09-18,277626770,306586076,336401,677054,218204,255438270,13561,10.6962168166074,485946,6686947.54933319,1052185622755.0,675.809523809524,911992,16574327.2953025
2017-09-19,278016750,307001793,415717,793721,282917,255721187,11778,6.79805245139366,486102,8608212.54424971,1103400932964.29,550.529032258064,956767,16576277.2953025
2017-09-20,278315031,307355806,354013,625106,235723,255956910,11474,8.22824613663066,486219,6608708.83340433,1103400932964.29,717.094827586207,948245,16577739.7953025
2017-09-21,278647466,307730776,374970,699463,255257,256212167,9931,7.57169280114336,486395,9737321.5208823,1103400932964.29,486.691428571429,767394,16579939.7953025
2017-09-22,278930268,308072445,341669,653300,227615,256439782,9710,8.2390669757773,486534,7698640.20955089,1103400932964.29,615.572463768116,802007,16581677.2953025
2017-09-23,279197181,308367289,294844,572873,203861,256643643,6788,6.44806059231481,486700,9077415.22184872,1103400932964.29,522.072727272727,630479,16583752.2953025
2017-09-24,279451225,308637494,270205,536331,185277,256828920,6756,6.04110046102333,486845,7966033.74333038,1103400932964.29,594.909722222222,656781,16585564.7953025
2017-09-25,279743363,308979222,341728,661983,226603,257055523,10888,8.80696602163083,486970,7019923.2390096,1103400932964.29,675.08870967742,916413,16587127.2953025
2017-09-26,280102740,309365957,386735,734006,263648,257319171,12091,7.94015881440451,487108,7562288.49255342,1103400932964.29,626.671532846715,962231,16588852.2953025
2017-09-27,280419033,309747098,381141,696320,257961,257577132,13227,8.40818797933986,487255,8189574.06591386,1103400932964.29,578.671232876712,848984,16590689.7953025
2017-09-28,280789444,310151437,404339,764653,275976,257853108,13711,8.34438900833768,487432,9848582.85720303,1103400932964.29,481.193181818182,843941,16592902.2953025
2017-09-29,281110837,310528798,377361,749352,254438,258107546,12647,7.70593522637476,487601,9383303.45442921,1103400932964.29,505.053571428572,832814,16595014.7953025
2017-09-30,281399080,310848280,319482,632166,212678,258320224,10612,7.80965083299735,487739,7612563.65260451,1103400932964.29,622.532846715329,786213,16596739.7953025
2017-10-01,281687977,311147214,298934,627850,203653,258523877,9299,7.06647707178195,487869,7176785.84773981,1103400932964.29,660.333333333333,912847,16598364.7953025
2017-10-02,282064220,311562077,414863,818801,295002,258818879,15882,6.87694201853357,488019,8479667.12702736,1123590453770.72,569.10067114094,1001502,16600239.7953025
2017-10-03,282433507,311974952,412875,789969,282132,259101011,10762,5.75154637770799,488202,10286112.4027007,1123863285132.97,469.269230769231,875862,16602527.2953025
2017-10-04,282727379,312322698,347746,642436,232826,259333837,10226,6.30853401465373,488336,7438217.97600738,1123863285132.97,648.93984962406,837474,16604202.2953025
2017-10-05,283065844,312715537,392839,731053,273243,259607080,10341,6.09937574511142,488461,7027456.80267964,1123863285132.97,686.870967741936,1018034,16605764.7953025
2017-10-06,283439124,313120853,405316,823148,283699,259890779,10740,4.87498026480996,488620,8899068.34998135,1123863285132.97,542.411392405063,920435,16607752.2953025
2017-10-07,283728716,313475606,354753,675356,231226,260122005,7917,4.56490855019976,488778,8916196.25397884,1123863285132.97,541.369426751592,836508,16609727.2953025
2017-10-08,284050604,313808948,333342,693180,238385,260360390,9038,5.34266810820928,488960,10287048.6980177,1123863285132.97,469.226519337017,764419,16612002.2953025
2017-10-09,284433625,314221705,412757,804344,296946,260657336,14373,8.63463012548042,489121,8982263.36641849,1123863285132.97,537.3875,921536,16614014.7953025
2017-10-10,284830209,314647178,425473,830235,303101,260960437,14377,6.44105320583805,489281,9036157.21100339,1123863285132.97,534.182389937107,964272,16616014.7953025
2017-10-11,285185980,315071724,424546,785188,292459,261252896,12809,6.08100336012884,489420,7830256.67762229,1123863285132.97,616.449275362319,1016095,16617752.2953025
2017-10-12,285555646,315499469,427745,787272,293164,261546060,16226,6.75238012306088,489573,8539705.29741637,1123863285132.97,565.236842105263,977542,16619664.7953025
2017-10-13,285891139,315950864,451395,822103,309819,261855879,19325,6.36269364941078,489709,7596897.38975325,1123863285132.97,635.385185185185,1025495,16621364.7953025
2017-10-14,286246167,316362090,411226,802715,293140,262149019,15853,5.17975436980702,489850,7874224.81298249,1123863285132.97,613.007142857143,1023221,16623127.2953025
2017-10-15,286627376,316761592,399502,830841,283473,262432492,13183,4.67298107271158,490045,11452043.4518793,1182954806243.74,443.654639175258,893767,16625564.7953025
2017-10-16,287017371,317213811,452219,854172,314725,262747217,14752,6.11710402328795,490219,10347961.6949504,1196792694098.79,496.734104046243,917763,16627739.7953025
2017-10-17,287424782,317693367,479556,878772,334438,263081655,20630,8.45051081859926,490383,9762878.506678,1196792694098.79,526.503067484663,986573,16629789.7953025
2017-10-18,287793694,318158169,464802,822776,329579,263411234,19745,6.53668244002455,490534,9201028.92893515,1196792694098.79,558.653333333333,1017521,16631677.2953025
2017-10-19,288225162,318649319,491150,914723,356985,263768219,18741,5.35403971449887,490712,10589438.9955486,1196792694098.79,485.406779661017,994041,16633902.2953025
2017-10-20,288579931,319077522,428203,854048,312409,264080628,20297,6.16898815674641,490891,10709471.8222464,1196792694098.79,479.966292134831,993012,16636139.7953025
2017-10-21,288946367,319504348,426826,809071,312257,264392885,17194,5.00417476546745,491044,9100216.5620271,1196792694098.79,564.842105263158,1040078,16638052.2953025
2017-10-22,289416240,319891293,386945,909573,289131,264682016,16305,5.18520841737925,491226,10862505.2201464,1196792694098.79,473.204419889502,1005286,16640327.2953025
2017-10-23,289816183,320351858,460565,881597,316096,264998112,26574,9.47439492130619,491397,10217861.6909709,1196792694098.79,503.058823529412,972171,16642464.7953025
2017-10-24,290267105,320858037,506179,962656,347220,265345332,22190,7.44782013733276,491564,9911265.86852103,1196792694098.79,518.620481927711,1041011,16644552.2953025
2017-10-25,290716311,321310369,452332,926100,315415,265660747,15394,6.2927355400194,491749,11001187.9280379,1196792694098.79,467.239130434783,969675,16646864.7953025
